period,value,value-units
2021-10-03,258964,megawatthours
2021-10-02,272452,megawatthours
2021-10-01,286687,megawatthours
2021-09-30,280194,megawatthours
2021-09-29,268997,megawatthours
2021-09-28,270276,megawatthours
2021-09-27,275932,megawatthours
2021-09-26,251334,megawatthours
2021-09-25,273194,megawatthours
2021-09-24,309729,megawatthours
2021-09-23,310644,megawatthours
2021-09-22,316117,megawatthours
2021-09-21,313770,megawatthours
2021-09-20,286714,megawatthours
2021-09-19,254357,megawatthours
2021-09-18,263624,megawatthours
2021-09-17,281444,megawatthours
2021-09-16,287944,megawatthours
2021-09-15,300334,megawatthours
2021-09-14,317811,megawatthours
2021-09-13,324597,megawatthours
2021-09-12,294144,megawatthours
2021-09-11,298309,megawatthours
2021-09-10,322822,megawatthours
2021-09-09,348563,megawatthours
2021-09-08,358421,megawatthours
2021-09-07,344285,megawatthours
2021-09-06,314504,megawatthours
2021-09-05,282040,megawatthours
2021-09-04,282468,megawatthours
2021-09-03,292713,megawatthours
2021-09-02,295586,megawatthours
2021-09-01,297678,megawatthours
2021-08-31,296133,megawatthours
2021-08-30,328161,megawatthours
2021-08-29,308416,megawatthours
2021-08-28,318770,megawatthours
2021-08-27,332582,megawatthours
2021-08-26,307961,megawatthours
2021-08-25,296451,megawatthours
2021-08-24,297437,megawatthours
2021-08-23,293376,megawatthours
2021-08-22,268418,megawatthours
2021-08-21,273884,megawatthours
2021-08-20,302256,megawatthours
2021-08-19,310584,megawatthours
2021-08-18,311801,megawatthours
2021-08-17,332075,megawatthours
2021-08-16,355083,megawatthours
2021-08-15,325843,megawatthours
2021-08-14,333286,megawatthours
2021-08-13,338817,megawatthours
2021-08-12,350920,megawatthours
2021-08-11,350528,megawatthours
2021-08-10,347890,megawatthours
2021-08-09,329310,megawatthours
2021-08-08,304747,megawatthours
2021-08-07,317954,megawatthours
2021-08-06,328143,megawatthours
2021-08-05,313515,megawatthours
2021-08-04,328676,megawatthours
2021-08-03,329767,megawatthours
2021-08-02,317279,megawatthours
2021-08-01,297829,megawatthours
2021-07-31,323971,megawatthours
2021-07-30,359028,megawatthours
2021-07-29,357049,megawatthours
2021-07-28,347991,megawatthours
2021-07-27,339487,megawatthours
2021-07-26,319359,megawatthours
2021-07-25,306645,megawatthours
2021-07-24,321377,megawatthours
2021-07-23,336077,megawatthours
2021-07-22,328729,megawatthours
2021-07-21,332633,megawatthours
2021-07-20,339080,megawatthours
2021-07-19,345639,megawatthours
2021-07-18,311788,megawatthours
2021-07-17,313293,megawatthours
2021-07-16,315711,megawatthours
2021-07-15,318736,megawatthours
2021-07-14,322281,megawatthours
2021-07-13,323994,megawatthours
2021-07-12,332149,megawatthours
2021-07-11,332828,megawatthours
2021-07-10,360892,megawatthours
2021-07-09,376407,megawatthours
2021-07-08,346898,megawatthours
2021-07-07,320495,megawatthours
2021-07-06,314594,megawatthours
2021-07-05,301210,megawatthours
2021-07-04,282569,megawatthours
2021-07-03,308147,megawatthours
2021-07-02,328424,megawatthours
2021-07-01,327122,megawatthours
2021-06-30,336278,megawatthours
2021-06-29,334415,megawatthours
2021-06-28,321093,megawatthours
2021-06-27,304641,megawatthours
2021-06-26,310940,megawatthours
2021-06-25,309589,megawatthours
2021-06-24,305730,megawatthours
2021-06-23,310444,megawatthours
2021-06-22,307571,megawatthours
2021-06-21,312193,megawatthours
2021-06-20,305743,megawatthours
2021-06-19,336776,megawatthours
2021-06-18,378579,megawatthours
2021-06-17,366406,megawatthours
2021-06-16,331422,megawatthours
2021-06-15,298940,megawatthours
2021-06-14,300720,megawatthours
2021-06-13,270824,megawatthours
2021-06-12,272564,megawatthours
2021-06-11,264389,megawatthours
2021-06-10,262669,megawatthours
2021-06-09,257700,megawatthours
2021-06-08,264547,megawatthours
2021-06-07,277014,megawatthours
2021-06-06,271180,megawatthours
2021-06-05,291805,megawatthours
2021-06-04,318886,megawatthours
2021-06-03,319741,megawatthours
2021-06-02,313777,megawatthours
2021-06-01,321310,megawatthours
2021-05-31,301147,megawatthours
2021-05-30,259963,megawatthours
2021-05-29,262812,megawatthours
2021-05-28,287633,megawatthours
2021-05-27,281979,megawatthours
2021-05-26,274344,megawatthours
2021-05-25,267277,megawatthours
2021-05-24,261573,megawatthours
2021-05-23,227668,megawatthours
2021-05-22,240791,megawatthours
2021-05-21,256564,megawatthours
2021-05-20,252732,megawatthours
2021-05-19,260943,megawatthours
2021-05-18,272316,megawatthours
2021-05-17,268707,megawatthours
2021-05-16,231554,megawatthours
2021-05-15,247138,megawatthours
2021-05-14,274670,megawatthours
2021-05-13,283259,megawatthours
2021-05-12,285659,megawatthours
2021-05-11,284513,megawatthours
2021-05-10,274604,megawatthours
2021-05-09,245571,megawatthours
2021-05-08,252714,megawatthours
2021-05-07,266498,megawatthours
2021-05-06,270208,megawatthours
2021-05-05,286277,megawatthours
2021-05-04,278423,megawatthours
2021-05-03,261404,megawatthours
2021-05-02,223377,megawatthours
2021-05-01,240008,megawatthours
2021-04-30,267516,megawatthours
2021-04-29,263190,megawatthours
2021-04-28,257233,megawatthours
2021-04-27,243670,megawatthours
2021-04-26,241433,megawatthours
2021-04-25,231917,megawatthours
2021-04-24,236639,megawatthours
2021-04-23,251714,megawatthours
2021-04-22,258751,megawatthours
2021-04-21,252445,megawatthours
2021-04-20,251318,megawatthours
2021-04-19,253272,megawatthours
2021-04-18,225623,megawatthours
2021-04-17,231801,megawatthours
2021-04-16,248265,megawatthours
2021-04-15,248474,megawatthours
2021-04-14,247194,megawatthours
2021-04-13,249406,megawatthours
2021-04-12,244156,megawatthours
2021-04-11,214944,megawatthours
2021-04-10,227887,megawatthours
2021-04-09,240553,megawatthours
2021-04-08,248044,megawatthours
2021-04-07,247618,megawatthours
2021-04-06,244735,megawatthours
2021-04-05,243243,megawatthours
2021-04-04,216060,megawatthours
2021-04-03,228280,megawatthours
2021-04-02,244019,megawatthours
2021-04-01,246437,megawatthours
2021-03-31,247067,megawatthours
2021-03-30,242106,megawatthours
2021-03-29,240029,megawatthours
2021-03-28,217281,megawatthours
2021-03-27,223266,megawatthours
2021-03-26,237292,megawatthours
2021-03-25,240208,megawatthours
2021-03-24,238369,megawatthours
2021-03-23,234689,megawatthours
2021-03-22,238250,megawatthours
2021-03-21,213775,megawatthours
2021-03-20,226953,megawatthours
2021-03-19,250911,megawatthours
2021-03-18,266040,megawatthours
